,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
72,39,5031,virginia,0,792.835359ms,2018-08-24 18:14:08.186853+00:00,virginia,server,78,3,alia-virginia-78,60,2018-08-24 18:14:07.394018+00:00,6345.579751066577,0.3.6
73,32,5024,virginia,0,751.437029ms,2018-08-24 20:01:14.113489+00:00,virginia,server,78,3,alia-virginia-78,116,2018-08-24 20:01:13.362052+00:00,6685.856307461793,0.3.6
74,16,5008,virginia,0,932.077235ms,2018-08-24 17:44:20.560570+00:00,virginia,server,78,5,alia-virginia-78,37,2018-08-24 17:44:19.628493+00:00,5372.945301040423,0.3.6
75,15,5010,virginia,0,1.065497841s,2018-08-24 20:31:27.344152+00:00,virginia,server,78,5,alia-virginia-78,141,2018-08-24 20:31:26.278654+00:00,4702.0273596218385,0.3.6
76,12,5004,virginia,0,1.036467996s,2018-08-24 17:25:00.434759+00:00,virginia,server,78,3,alia-virginia-78,21,2018-08-24 17:24:59.398291+00:00,4827.934889752254,0.3.6
77,31,5022,virginia,0,951.86816ms,2018-08-24 20:50:45.347965+00:00,virginia,server,78,5,alia-virginia-78,157,2018-08-24 20:50:44.396096+00:00,5275.940735322001,0.3.6
78,15,5010,virginia,0,839.70977ms,2018-08-24 19:40:47.431752+00:00,virginia,server,78,3,alia-virginia-78,99,2018-08-24 19:40:46.592042+00:00,5966.3471582568345,0.3.6
79,34,5032,virginia,0,990.718097ms,2018-08-24 18:33:26.828139+00:00,virginia,server,78,5,alia-virginia-78,76,2018-08-24 18:33:25.837421+00:00,5079.144123073387,0.3.6
80,19,5016,virginia,0,1.291483623s,2018-08-25 00:28:21.324289+00:00,virginia,server,78,5,alia-virginia-78,229,2018-08-25 00:28:20.032806+00:00,3883.9052316809752,0.3.6
81,16,5008,virginia,0,781.018753ms,2018-08-24 19:41:59.214871+00:00,virginia,server,78,3,alia-virginia-78,100,2018-08-24 19:41:58.433852+00:00,6412.137968215982,0.3.6
82,42,5040,virginia,0,1.041236623s,2018-08-25 00:55:20.139965+00:00,virginia,server,78,5,alia-virginia-78,252,2018-08-25 00:55:19.098728+00:00,4840.398319335719,0.3.6
83,26,5018,virginia,0,888.15495ms,2018-08-24 23:47:09.096228+00:00,virginia,server,78,3,alia-virginia-78,194,2018-08-24 23:47:08.208073+00:00,5649.915028903459,0.3.6
84,37,5032,virginia,0,845.40741ms,2018-08-25 00:00:00.845316+00:00,virginia,server,78,3,alia-virginia-78,205,2018-08-24 23:59:59.999909+00:00,5952.159799498328,0.3.6
85,3,1500,virginia,0,770.988213ms,2018-08-25 00:09:29.441544+00:00,virginia,server,78,5,alia-virginia-78,213,2018-08-25 00:09:28.670500+00:00,1945.5550353530502,0.3.6
86,34,5032,virginia,0,1.047044211s,2018-08-25 00:45:58.729832+00:00,virginia,server,78,5,alia-virginia-78,244,2018-08-25 00:45:57.682787+00:00,4805.9097668799395,0.3.6
87,14,5012,virginia,0,856.627391ms,2018-08-24 23:33:05.171870+00:00,virginia,server,78,3,alia-virginia-78,182,2018-08-24 23:33:04.315200+00:00,5850.851902072788,0.3.6
88,15,5010,virginia,0,828.72768ms,2018-08-24 23:34:15.777561+00:00,virginia,server,78,3,alia-virginia-78,183,2018-08-24 23:34:14.948834+00:00,6045.411684571704,0.3.6
89,35,5005,virginia,0,2.073894876s,2018-08-25 00:47:10.030845+00:00,virginia,server,78,5,alia-virginia-78,245,2018-08-25 00:47:07.956950+00:00,2413.333509774292,0.3.6
90,2,1000,virginia,0,773.656677ms,2018-08-25 00:08:17.466428+00:00,virginia,server,78,5,alia-virginia-78,212,2018-08-25 00:08:16.692771+00:00,1292.5630059546427,0.3.6
91,36,5004,virginia,0,724.212212ms,2018-08-24 23:58:50.640226+00:00,virginia,server,78,3,alia-virginia-78,204,2018-08-24 23:58:49.916014+00:00,6909.5769404120465,0.3.6
92,27,5022,virginia,0,671.318751ms,2018-08-24 23:48:19.355976+00:00,virginia,server,78,3,alia-virginia-78,195,2018-08-24 23:48:18.684658+00:00,7480.798044921584,0.3.6
93,17,5015,virginia,0,984.442755ms,2018-08-24 19:43:11.589737+00:00,virginia,server,78,3,alia-virginia-78,101,2018-08-24 19:43:10.605294+00:00,5094.252534775372,0.3.6
94,14,5012,virginia,0,879.982942ms,2018-08-24 19:39:35.027840+00:00,virginia,server,78,3,alia-virginia-78,98,2018-08-24 19:39:34.147857+00:00,5695.564948803291,0.3.6
95,35,5005,virginia,0,930.523736ms,2018-08-24 18:34:38.854536+00:00,virginia,server,78,5,alia-virginia-78,77,2018-08-24 18:34:37.924013+00:00,5378.691382462489,0.3.6
96,18,5004,virginia,0,1.163011602s,2018-08-25 00:27:11.250566+00:00,virginia,server,78,5,alia-virginia-78,228,2018-08-25 00:27:10.087554+00:00,4302.622597568893,0.3.6
