,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
128,16,5008,virginia,0,746.91741ms,2018-08-28 18:19:20.666045+00:00,virginia,server,78,3,alia-virginia-78,268,2018-08-28 18:19:19.919127+00:00,6704.891240920465,0.4
129,15,5010,virginia,0,703.47492ms,2018-08-27 18:48:58.843233+00:00,virginia,server,78,5,alia-virginia-78,141,2018-08-27 18:48:58.139750+00:00,7121.789075294966,0.4
130,39,5031,virginia,0,683.465488ms,2018-08-28 18:43:59.149509+00:00,virginia,server,78,3,alia-virginia-78,291,2018-08-28 18:43:58.466044+00:00,7361.015425551378,0.4
131,21,5019,virginia,0,535.494749ms,2018-08-27 16:20:58.910000+00:00,virginia,server,78,3,alia-virginia-78,21,2018-08-27 16:20:58.374540+00:00,9372.640925746966,0.4
132,31,5022,virginia,0,618.111171ms,2018-08-27 19:08:39.330875+00:00,virginia,server,78,5,alia-virginia-78,157,2018-08-27 19:08:38.712760+00:00,8124.7520439976,0.4
133,15,5010,virginia,0,654.701834ms,2018-08-27 17:58:13.234412+00:00,virginia,server,78,3,alia-virginia-78,99,2018-08-27 17:58:12.579710+00:00,7652.338423111855,0.4
134,34,5032,virginia,0,791.847965ms,2018-08-27 17:27:21.367190+00:00,virginia,server,78,5,alia-virginia-78,76,2018-08-27 17:27:20.575342+00:00,6354.755233853509,0.4
135,5,2500,virginia,0,790.366927ms,2018-08-28 20:38:48.876627+00:00,virginia,server,78,5,alia-virginia-78,383,2018-08-28 20:38:48.086260+00:00,3163.087819842441,0.4
136,19,5016,virginia,0,1.843337741s,2018-08-28 16:58:49.480170+00:00,virginia,server,78,5,alia-virginia-78,229,2018-08-28 16:58:47.636841+00:00,2721.1508170384714,0.4
137,16,5008,virginia,0,569.950659ms,2018-08-27 17:59:25.215570+00:00,virginia,server,78,3,alia-virginia-78,100,2018-08-27 17:59:24.645619+00:00,8786.72551898918,0.4
138,37,5032,virginia,0,1.089313031s,2018-08-28 21:13:01.950923+00:00,virginia,server,78,5,alia-virginia-78,415,2018-08-28 21:13:00.861610+00:00,4619.425139328935,0.4
139,42,5040,virginia,0,790.82336ms,2018-08-28 17:23:22.551328+00:00,virginia,server,78,5,alia-virginia-78,252,2018-08-28 17:23:21.760505+00:00,6373.104608341362,0.4
140,23,5014,virginia,0,852.926701ms,2018-08-28 19:11:50.805739+00:00,virginia,server,78,5,alia-virginia-78,317,2018-08-28 19:11:49.952812+00:00,5878.5825254636975,0.4
141,26,5018,virginia,0,614.021898ms,2018-08-28 16:21:23.823017+00:00,virginia,server,78,3,alia-virginia-78,194,2018-08-28 16:21:23.208990+00:00,8172.346973853367,0.4
142,36,5032,virginia,0,658.827677ms,2018-08-28 16:33:08.147447+00:00,virginia,server,78,3,alia-virginia-78,205,2018-08-28 16:33:07.488619+00:00,7637.809059439377,0.4
143,4,2000,virginia,0,613.304663ms,2018-08-28 19:52:45.152950+00:00,virginia,server,78,3,alia-virginia-78,340,2018-08-28 19:52:44.539654+00:00,3261.022002045336,0.4
144,3,1500,virginia,0,685.646123ms,2018-08-28 16:41:42.978246+00:00,virginia,server,78,5,alia-virginia-78,213,2018-08-28 16:41:42.292600+00:00,2187.7174677760117,0.4
145,20,5020,virginia,0,649.344903ms,2018-08-28 20:09:52.097909+00:00,virginia,server,78,3,alia-virginia-78,356,2018-08-28 20:09:51.448564+00:00,7730.86841339232,0.4
146,34,5032,virginia,0,779.284243ms,2018-08-28 17:14:49.171254+00:00,virginia,server,78,5,alia-virginia-78,244,2018-08-28 17:14:48.391969+00:00,6457.207424890792,0.4
147,7,3500,virginia,0,1.901175461s,2018-08-28 18:54:43.641172+00:00,virginia,server,78,5,alia-virginia-78,301,2018-08-28 18:54:41.739996+00:00,1840.966324149289,0.4
148,14,5012,virginia,0,796.876759ms,2018-08-28 16:08:36.760090+00:00,virginia,server,78,3,alia-virginia-78,182,2018-08-28 16:08:35.963214+00:00,6289.554744060493,0.4
149,15,5010,virginia,0,727.605847ms,2018-08-28 16:09:40.696326+00:00,virginia,server,78,3,alia-virginia-78,183,2018-08-28 16:09:39.968720+00:00,6885.596124133401,0.4
150,35,5005,virginia,0,798.248937ms,2018-08-28 17:15:53.569752+00:00,virginia,server,78,5,alia-virginia-78,245,2018-08-28 17:15:52.771503+00:00,6269.97389913217,0.4
151,6,3000,virginia,0,917.524724ms,2018-08-28 18:53:37.888709+00:00,virginia,server,78,5,alia-virginia-78,300,2018-08-28 18:53:36.971185+00:00,3269.6666602305095,0.4
152,2,1000,virginia,0,618.986833ms,2018-08-28 16:40:38.939936+00:00,virginia,server,78,5,alia-virginia-78,212,2018-08-28 16:40:38.320950+00:00,1615.5432501744347,0.4
153,21,5019,virginia,0,619.287941ms,2018-08-28 20:10:56.201791+00:00,virginia,server,78,3,alia-virginia-78,357,2018-08-28 20:10:55.582503+00:00,8104.469129328647,0.4
154,36,5004,virginia,0,748.204179ms,2018-08-28 16:32:04.480354+00:00,virginia,server,78,3,alia-virginia-78,204,2018-08-28 16:32:03.732150+00:00,6688.013967909153,0.4
155,5,2500,virginia,0,665.259034ms,2018-08-28 19:53:49.079883+00:00,virginia,server,78,3,alia-virginia-78,341,2018-08-28 19:53:48.414624+00:00,3757.934687437856,0.4
156,27,5022,virginia,0,648.013451ms,2018-08-28 16:22:28.947290+00:00,virginia,server,78,3,alia-virginia-78,195,2018-08-28 16:22:28.299283+00:00,7749.83913103989,0.4
157,1,500,virginia,0,542.740785ms,2018-08-28 18:03:14.159105+00:00,virginia,server,78,3,alia-virginia-78,253,2018-08-28 18:03:13.616364+00:00,921.2500954760568,0.4
158,22,5016,virginia,0,798.356994ms,2018-08-28 19:10:46.838775+00:00,virginia,server,78,5,alia-virginia-78,316,2018-08-28 19:10:46.040418+00:00,6282.9035603087605,0.4
159,17,5015,virginia,0,595.574881ms,2018-08-27 18:00:37.395079+00:00,virginia,server,78,3,alia-virginia-78,101,2018-08-27 18:00:36.799500+00:00,8420.435716797801,0.4
